2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 731, column 33] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 736, column 33] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 799, column 25] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 801, column 25] : $jquery cannot be resolved.
2020-10-23 13:23:37,298 - Left side ($showLangkah) of '==' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. vtl/main/module_title.vm[line 5, column 21]
2020-10-23 13:23:42,091 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 16, column 46] : $jeniskp cannot be resolved.
2020-10-23 13:23:42,091 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 24, column 59] : $hitButt cannot be resolved.
2020-10-23 13:23:42,091 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 25, column 61] : $hitButt2 cannot be resolved.
2020-10-23 13:23:42,091 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 46, column 77] : $flagSelesaiHAARB cannot be resolved.
2020-10-23 13:23:42,091 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 50, column 55] : $idHTA cannot be resolved.
2020-10-23 13:23:42,091 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 52, column 63] : $idJenisHA cannot be resolved.
2020-10-23 13:23:42,091 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 89, column 1]
2020-10-23 13:23:42,091 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 90, column 1]
2020-10-23 13:23:42,091 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 91, column 1]
2020-10-23 13:23:42,091 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 94, column 1]
2020-10-23 13:23:42,091 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 95, column 1]
2020-10-23 13:23:42,091 - Left side ($kemaskini1) of '==' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 97, column 26]
2020-10-23 13:23:42,092 - Null reference [template 'app/ppk/headerppk.jsp', line 72, column 82] : $headerppk.id_permohonan_param cannot be resolved.
2020-10-23 13:23:42,092 - RHS of #set statement is null. Context will not be modified. app/ppk/headerppk.jsp[line 78, column 1]
